eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.41448666666666667,0.41598,0.4156066666666667,0.4156766666666667,0.4166833333333333,0.41530999999999996,0.41525999999999996,0.4161933333333333,0.4155766666666667,0.4158233333333333,0.41566666666666663,0.4155,0.4158166666666666,0.44538333333333335,0.38621666666666665,0.36834333333333336,0.35302333333333336,0.34225000000000005,0.33594333333333337,0.3574466666666667
error_probabilities_validated,0.416832,0.4166506666666666,0.4166523333333333,0.416922,0.4168766666666667,0.41662600000000005,0.4165616666666667,0.41692433333333334,0.41692966666666664,0.4174443333333333,0.4166373333333333,0.41672166666666666,0.416666,0.44454666666666665,0.3872903333333333,0.36858633333333335,0.35342966666666664,0.34255366666666665,0.336267,0.3575183333333334
success_probabilities_validated,0.583168,0.5833493333333334,0.5833476666666667,0.583078,0.5831233333333333,0.583374,0.5834383333333333,0.5830756666666667,0.5830703333333334,0.5825556666666667,0.5833626666666667,0.5832783333333333,0.583334,0.5554533333333334,0.6127096666666667,0.6314136666666667,0.6465703333333334,0.6574463333333334,0.663733,0.6424816666666666
upper_fidelities,0.666859470333472,0.6887975168755205,0.7073616890789695,0.7223687693858329,0.7333079559341866,0.74057828271372,0.7438835563432015,0.7431402390122508,0.738557770420723,0.7317242511183359,0.7176926514177258,0.7018444181507727,0.6820252572689969,0.7220205451857817,0.6320764222240578,0.602612716397392,0.5692511624833498,0.533969274382849,0.49564550297436705,0.5543570022834493
lower_fidelities,0.0833654765805127,0.08710343745636719,0.09039185194889238,0.09313505667818718,0.09518039244181498,0.09656295677508117,0.09719728556284184,0.09705362993999364,0.09617668220604707,0.09489543469904672,0.09227160597847908,0.08940397152181276,0.08593298200628367,0.09331886098262326,0.07776665459379348,0.0733340537098106,0.06867904604532882,0.06414763817172639,0.05970451261399448,0.06467141336703608
eta0_success_probabilities,0.160161,0.33323566666666665,0.333314,0.333253,0.333127,0.3332963333333333,0.333286,0.333132,0.333327,0.332476,0.333323,0.33317966666666665,0.33311666666666667,0.291807,0.3331536666666667,0.33315733333333336,0.33332666666666666,0.33314533333333335,0.33301833333333336,0.32905433333333334
eta1_success_probabilities,0.249844,0.2501136666666667,0.25003366666666665,0.249825,0.24999633333333332,0.25007766666666664,0.2501523333333333,0.24994366666666668,0.24974333333333334,0.25007966666666664,0.25003966666666666,0.2500986666666667,0.25021733333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eta2_success_probabilities,0.173163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2636463333333333,0.279556,0.29825633333333335,0.31324366666666664,0.324301,0.33071466666666666,0.31342733333333334
eta_assigned_state_00,$\eta1$,None,$\eta0$,None,$\eta1$,None,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$,$\eta2$
eta_assigned_state_01,$\eta0$,None,$\eta1$,None,$\eta0$,None,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta2$,$\eta0$,$\eta2$,$\eta0$,$\eta0$
eta_assigned_state_10,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,None,None,None,$\eta0$,None,$\eta1$,$\eta1$,$\eta2$,$\eta0$,$\eta0$,None,$\eta0$,$\eta0$,$\eta0$
eta_assigned_state_11,$\eta2$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta0$,None,None,None,$\eta1$,None,$\eta0$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,None,$\eta2$,$\eta2$,$\eta2$
counts_00_eta0,104,**0,**285622,**0,617,**0,142,**999396,19,**66,**999969,422,640,**736513,**31262,**260,20,**28854,7,12111
counts_00_eta1,**360724,0,71293,0,**1432,0,**750457,250169,**749230,12,249881,**671571,**6940,173254,7622,67,749654,7206,740197,141714
counts_00_eta2,112,0,277678,0,767,0,226445,700710,377631,36,459413,556918,6595,156440,5049,35,**939731,796,**978790,**265484
counts_01_eta0,**480483,**0,43,**0,**1683,**0,**999858,604,**999981,0,31,**893981,**8503,**138908,520,61,**999980,547,**985710,**200926
counts_01_eta1,120583,0,**214223,0,863,0,249543,**749831,250770,**52,**750119,223500,2055,55730,24033,296,250346,22549,245524,84729
counts_01_eta2,480286,0,7743,0,1621,0,773555,299290,622369,37,540587,337869,2461,52621,**26758,**306,60269,**28654,6867,21426
counts_10_eta0,126,293,**714320,241,**997698,111,**0,**0,**0,**997362,**0,39,10,105869,**968199,**999212,**0,**970582,**13345,**786237
counts_10_eta1,**388808,**750341,178606,**749475,249148,**750233,0,0,0,249749,0,**78725,**743712,603674,241857,249964,0,242239,4010,272776
counts_10_eta2,113,7222,695143,60298,892106,161432,0,0,0,540443,0,65582,694159,**619165,156283,105196,0,26301,989,38292
counts_11_eta0,519287,**999707,15,**999759,2,**999889,**0,**0,**0,2572,**0,**105558,**990847,18710,19,467,**0,17,938,726
counts_11_eta1,129885,249659,**535878,250525,**748557,249767,0,0,0,**750187,0,26204,247293,167342,726488,749673,0,728006,10269,500781
counts_11_eta2,**519489,992778,19436,939702,105506,838568,0,0,0,459484,0,39631,296785,**171774,**811910,**894463,0,**944249,**13354,**674798
total_counts,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
