eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.5790333333333333,0.5785,0.5896,0.5913999999999999,0.5788333333333333,0.5811999999999999,0.5797666666666667,0.5655,0.5370666666666667,0.5131333333333333,0.4835666666666667,0.45599999999999996,0.4308666666666666,0.4152,0.3845666666666666,0.3667,0.36063333333333336,0.34130000000000005,0.3353666666666667,0.35563333333333336
error_probabilities_validated,0.58371,0.5834636666666666,0.5909623333333334,0.5920449999999999,0.583333,0.5839853333333334,0.5836203333333334,0.5673443333333333,0.5413443333333333,0.5147506666666667,0.4892336666666667,0.4594303333333334,0.4342866666666667,0.41717099999999996,0.38775133333333334,0.368815,0.360298,0.34246333333333334,0.3356566666666667,0.35526
success_probabilities_validated,0.41629,0.41653633333333334,0.4090376666666667,0.407955,0.416667,0.41601466666666664,0.41637966666666665,0.43265566666666666,0.4586556666666667,0.4852493333333333,0.5107663333333333,0.5405696666666666,0.5657133333333333,0.582829,0.6122486666666667,0.631185,0.639702,0.6575366666666667,0.6643433333333333,0.64474
upper_fidelities,0.9113725532006872,0.922322357344188,0.9372434873760126,0.9377715361353882,0.9313240913111611,0.9252431372481098,0.9151029770215379,0.9011355202181908,0.8823183067547195,0.859181899466984,0.8354082160701943,0.8031691542335435,0.7710113421799132,0.7506874946227623,0.6929171205537523,0.648799934291533,0.6029358990093278,0.5554479141453524,0.5061376022556789,0.491316565718656
lower_fidelities,0.13908789054258838,0.1422801417508066,0.14672636639555414,0.14688328285033514,0.14494627160676232,0.14314105472230554,0.1401691950412349,0.136153576080024,0.1308869204553328,0.12463712528848725,0.11846904481044404,0.11052907326047473,0.10307467295944747,0.09845653444425263,0.08700314283359753,0.07920309093898889,0.07202699760275592,0.06562422574756013,0.0600833650390145,0.05854910288410936
eta0_success_probabilities,0.3190113333333333,0.3331213333333333,0.3217696666666667,0.31995833333333334,0.332815,0.3322986666666667,0.333084,0.3313853333333333,0.332123,0.33218233333333336,0.32791166666666666,0.332599,0.3316633333333333,0.3223123333333333,0.33250766666666665,0.3328256666666667,0.3299936666666667,0.33325533333333335,0.333306,0.321154
eta1_success_probabilities,0.08408,0.083415,0.087268,0.08799666666666667,0.083852,0.083716,0.08329566666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eta2_success_probabilities,0.013198666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.10127033333333334,0.12653266666666665,0.153067,0.18285466666666667,0.20797066666666666,0.23405,0.2605166666666667,0.279741,0.2983593333333333,0.3097083333333333,0.3242813333333333,0.33103733333333335,0.323586
eta_assigned_state_00,$\eta1$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta1$,$\eta1$,$\eta2$,$\eta2$,None,$\eta2$,$\eta2$,None,$\eta0$,None,$\eta0$,$\eta0$,None,None,$\eta2$
eta_assigned_state_01,$\eta2$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,None,$\eta0$,$\eta0$,None,$\eta2$,None,$\eta2$,$\eta2$,None,None,$\eta2$
eta_assigned_state_10,$\eta1$,$\eta1$,$\eta1$,$\eta1$,None,$\eta0$,$\eta1$,$\eta2$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,$\eta0$
eta_assigned_state_11,$\eta0$,$\eta0$,$\eta0$,$\eta1$,None,$\eta1$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta2$,$\eta2$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta2$
counts_00_eta0,135,174,**162478,**199849,1555,2861,286,5789,3244,**0,11837,350,**0,**206724,**0,**888568,**809920,**0,**0,2519
counts_00_eta1,**9955,**163905,107527,160287,**251556,**20051,**153567,7590,29167,0,42188,37711,0,155437,0,666835,609239,0,0,50741
counts_00_eta2,168,4603,156118,189550,106800,13917,140137,**8250,**42646,0,**77137,**92788,0,46382,0,93420,53723,0,0,**235548
counts_01_eta0,39212,**261723,899,**760026,**998445,**71232,**616108,**7747,**104416,**0,**120160,**148743,**0,7005,**0,186,649,**0,**0,24761
counts_01_eta1,29448,196020,**32899,575723,748444,54338,462647,5906,77440,0,90374,111170,0,58573,0,221998,28642,0,0,163977
counts_01_eta2,**39596,259919,4485,715755,893200,60453,477031,5513,64595,0,55022,56331,0,**167070,0,**795390,**105571,0,0,**579029
counts_10_eta0,3619,462,33792,3639,**0,**925664,462,55,387,**996547,4428,1853,**994990,**760213,2477,**109909,9370,234,82,**963462
counts_10_eta1,**242285,**86340,**228905,**195781,0,694514,**96320,246092,223561,747649,219929,213718,746116,569917,251532,82208,225843,249738,250037,741057
counts_10_eta2,3520,2760,55325,50201,0,775589,86730,**295561,**336952,540799,**471427,**531124,297850,172068,**839223,11502,**823554,**972844,**993112,29242
counts_11_eta0,**957034,**737641,**802831,36486,**0,243,**383144,**986409,**891953,3453,**863575,**849054,5010,26058,**997523,1337,**180061,**999766,**999918,9258
counts_11_eta1,718312,553735,630669,**68209,0,**231097,287466,740412,669832,252351,647509,637401,253884,216073,748468,28959,136276,750262,749963,44225
counts_11_eta2,956716,732718,784072,44494,0,150041,296102,690676,555807,**459201,396414,319757,**702150,**614480,160777,**99688,17152,27156,6888,**156181
total_counts,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
