eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.57988,0.5812999999999999,0.5824366666666667,0.58221,0.5819333333333334,0.5818466666666666,0.5820533333333333,0.56592,0.5397266666666667,0.51271,0.48495,0.45748999999999995,0.4320466666666667,0.40808333333333335,0.3857033333333333,0.3674966666666667,0.35263333333333335,0.3420633333333334,0.33543333333333336,0.33333999999999997
error_probabilities_validated,0.5826433333333334,0.5838166666666667,0.58346,0.5837333333333333,0.58275,0.5840766666666667,0.5833633333333333,0.5676866666666667,0.5406,0.5139400000000001,0.48640666666666665,0.45955,0.4332366666666667,0.40828,0.3868566666666666,0.36880333333333337,0.35346999999999995,0.34241333333333335,0.33574000000000004,0.3333433333333333
success_probabilities_validated,0.41735666666666665,0.41618333333333335,0.41654,0.4162666666666667,0.41725,0.4159233333333333,0.41663666666666666,0.4323133333333333,0.4594,0.48606,0.5135933333333333,0.54045,0.5667633333333333,0.59172,0.6131433333333334,0.6311966666666666,0.64653,0.6575866666666667,0.66426,0.6666566666666667
upper_fidelities,0.9106836031381023,0.9223707428587571,0.9296407523523934,0.9325875570246949,0.9310980536432203,0.9252554950446329,0.915076494447465,0.9005578011631197,0.8818959993267106,0.8593110238486662,0.8325787540613527,0.8022440631540384,0.7684092694166307,0.7313124416515462,0.691221233366285,0.6482771609675986,0.6029358990465118,0.5554479143059177,0.5061376025685653,0.455341801435193
lower_fidelities,0.13888888906646546,0.1422943949401731,0.14444474669992996,0.14532337394762948,0.1448787405534351,0.14314471332327316,0.14016149163297642,0.13598961448235108,0.1307709302216638,0.12467116572197968,0.11775755454027031,0.11031380672150339,0.10251499593672864,0.09457486850014299,0.08671185776026119,0.07911702913599512,0.07202699769449013,0.06562422574440861,0.06008336510746791,0.05555555559834432
eta0_success_probabilities,0.06377666666666666,0.33292666666666665,0.33329333333333333,0.33294666666666667,0.33326666666666666,0.33313333333333334,0.33316,0.33333,0.33330333333333334,0.33291,0.33330333333333334,0.33326,0.33325,0.33316666666666667,0.33332,0.3333,0.33331666666666665,0.33326333333333336,0.3333,0.33333
eta1_success_probabilities,0.08376,0.08313666666666666,0.08324666666666666,0.08332,0.08398333333333333,0.08279,0.08347666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666667e-05,0.0,0.0,0.0,0.0,3.3333333333333333e-06,0.0
eta2_success_probabilities,0.26982,0.00012,0.0,0.0,0.0,0.0,0.0,0.09898333333333334,0.12609666666666666,0.15315,0.18029,0.20719,0.23351333333333332,0.2585266666666667,0.2798233333333333,0.29789666666666664,0.31321333333333334,0.32432333333333335,0.3309566666666667,0.33332666666666666
eta_assigned_state_00,$\eta2$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta0$,$\eta2$,$\eta0$
eta_assigned_state_01,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,None,$\eta2$,None,$\eta2$,$\eta0$,$\eta1$,None
eta_assigned_state_10,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$
eta_assigned_state_11,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta0$,None,None,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,None,$\eta0$,$\eta2$,$\eta0$,None
counts_00_eta0,80667,93,**71105,**99505,17,**99923,**99948,1,**38346,126,5,18,22,43,4,10,5,**94789,10,**99999
counts_00_eta1,60263,**24893,53198,74675,**19712,75151,74957,24726,28918,25001,21089,14589,22778,25053,25151,25071,24156,71387,25307,74880
counts_00_eta2,**80946,772,68887,93390,8366,83863,77393,**29431,23821,**45891,**45397,**36567,**63997,**77558,**83938,**89369,**91114,2551,**99287,2
counts_01_eta0,**19133,1,**28883,**379,3,**17,38,0,**61645,1,4,4,3,**0,0,**0,0,**5190,0,**0
counts_01_eta1,14609,**48,21828,329,**5483,12,**48,245,46167,35,3873,10382,2186,0,4,0,776,3838,**1,0
counts_01_eta2,18848,0,28437,346,2240,12,45,**264,38350,**54,**8690,**25590,**6057,0,**9,0,**2850,152,0,0
counts_10_eta0,160,**99878,7,116,**78116,60,14,**99059,3,**99465,**84233,**58437,**91238,**99950,**99971,**99990,**96741,20,**99988,1
counts_10_eta1,**20244,75045,**17708,**24908,58523,**24837,**24995,74307,9674,74588,63259,43924,68352,74939,74825,74929,72701,23454,74692,25120
counts_10_eta2,165,99192,1965,6245,70110,16125,22562,69607,**14630,53764,38698,22019,27335,22438,16031,10631,5849,**92159,713,**99998
counts_11_eta0,40,28,5,0,**21864,**0,**0,**940,6,**408,**15758,**41541,**8737,7,**25,**0,**3254,1,**2,**0
counts_11_eta1,**4884,14,**7266,**88,16282,0,0,722,15241,376,11779,31105,6684,**8,20,0,2367,1321,0,0
counts_11_eta2,41,**36,711,19,19284,0,0,698,**23199,291,7215,15824,2611,4,22,0,187,**5138,0,0
total_counts,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
