eta_angles,0,4,9,14,18,23,28,33,37,42,47,52,56,61,66,71,75,80,85,90
error_probabilities,0.57988,0.5812999999999999,0.5824366666666667,0.58221,0.5819333333333334,0.5818466666666666,0.5820533333333333,0.56592,0.5397266666666667,0.51271,0.48495,0.45748999999999995,0.4320466666666667,0.40808333333333335,0.3857033333333333,0.3674966666666667,0.35263333333333335,0.3420633333333334,0.33543333333333336,0.33333999999999997
error_probabilities_validated,0.5836706666666667,0.5834996666666667,0.5832236666666666,0.5835873333333333,0.5836226666666666,0.5834493333333333,0.5835036666666666,0.5668286666666666,0.5409189999999999,0.5141856666666667,0.4863153333333333,0.45914200000000005,0.43332266666666663,0.40912766666666667,0.387239,0.3685856666666667,0.35343066666666667,0.342541,0.3356473333333333,0.333342
success_probabilities_validated,0.41632933333333333,0.4165003333333333,0.41677633333333336,0.41641266666666665,0.4163773333333333,0.4165506666666667,0.41649633333333336,0.43317133333333335,0.459081,0.48581433333333335,0.5136846666666667,0.540858,0.5666773333333334,0.5908723333333333,0.612761,0.6314143333333333,0.6465693333333333,0.657459,0.6643526666666667,0.666658
upper_fidelities,0.9106836031381023,0.9223707428587571,0.9296407523523934,0.9325875570246949,0.9310980536432203,0.9252554950446329,0.915076494447465,0.9005578011631197,0.8818959993267106,0.8593110238486662,0.8325787540613527,0.8022440631540384,0.7684092694166307,0.7313124416515462,0.691221233366285,0.6482771609675986,0.6029358990465118,0.5554479143059177,0.5061376025685653,0.455341801435193
lower_fidelities,0.13888888906646546,0.1422943949401731,0.14444474669992996,0.14532337394762948,0.1448787405534351,0.14314471332327316,0.14016149163297642,0.13598961448235108,0.1307709302216638,0.12467116572197968,0.11775755454027031,0.11031380672150339,0.10251499593672864,0.09457486850014299,0.08671185776026119,0.07911702913599512,0.07202699769449013,0.06562422574440861,0.06008336510746791,0.05555555559834432
eta0_success_probabilities,0.26870533333333335,0.332886,0.33330166666666666,0.33291966666666667,0.33325366666666667,0.33313366666666666,0.3331616666666667,0.33332866666666666,0.33331666666666665,0.332931,0.333302,0.333256,0.33323966666666666,0.33316966666666664,0.333317,0.33327833333333334,0.333307,0.3332623333333333,0.333303,0.3333296666666667
eta1_success_probabilities,0.08352066666666667,0.08351033333333334,0.08347466666666667,0.083493,0.08312366666666667,0.08341666666666667,0.08333466666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eta2_success_probabilities,0.06410333333333333,0.000104,0.0,0.0,0.0,3.3333333333333335e-07,0.0,0.09984266666666666,0.12576433333333334,0.15288333333333334,0.18038266666666666,0.207602,0.23343766666666665,0.2577026666666667,0.279444,0.298136,0.3132623333333333,0.3241966666666667,0.3310496666666667,0.33332833333333334
eta_assigned_state_00,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,$\eta0$,$\eta2$,$\eta0$
eta_assigned_state_01,$\eta2$,$\eta1$,$\eta0$,$\eta0$,$\eta1$,$\eta0$,$\eta1$,$\eta2$,$\eta0$,$\eta2$,$\eta2$,$\eta2$,$\eta2$,None,$\eta2$,None,$\eta2$,$\eta0$,$\eta2$,$\eta0$
eta_assigned_state_10,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta1$,$\eta1$,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,$\eta2$
eta_assigned_state_11,$\eta1$,$\eta2$,$\eta1$,$\eta1$,$\eta0$,$\eta2$,None,$\eta0$,$\eta2$,$\eta0$,$\eta0$,$\eta0$,$\eta0$,$\eta2$,$\eta0$,None,$\eta0$,$\eta2$,$\eta0$,$\eta2$
counts_00_eta0,**806116,1036,**709474,**994714,195,**999221,**999485,14,**384374,1199,79,130,256,438,49,165,76,**947777,91,**999987
counts_00_eta1,605718,**250135,532363,746397,**195604,749594,749996,247286,288161,250008,211367,145589,228107,250217,249983,249623,242097,711235,250108,750013
counts_00_eta2,805681,7695,691292,934745,82761,837712,772913,**296772,239308,**458068,**456464,**364278,**638917,**773047,**838232,**894408,**909971,25987,**993132,15
counts_01_eta0,191774,0,**290431,**4045,44,**180,410,0,**615576,8,15,102,25,**0,0,**0,3,**52010,0,**2
counts_01_eta1,143720,**396,217213,3124,**53767,155,**464,2425,462416,310,39299,104206,22181,0,31,0,7962,38714,7,1
counts_01_eta2,**192310,7,281883,3755,23062,137,411,**2756,383399,**582,**84684,**258528,**61396,0,**100,0,**29816,1423,**17,0
counts_10_eta0,1707,**998658,74,1237,**782794,599,105,**990506,21,**994616,**841312,**584675,**912139,**999509,**999755,**999835,**968267,200,**999878,11
counts_10_eta1,**202518,749318,**177597,**249498,587630,**250250,**249540,743080,96359,746121,631157,439110,683991,749736,749830,750377,726337,236968,749874,249986
counts_10_eta2,1628,991986,18823,61309,699561,162150,226676,693730,**145121,538265,386041,220504,273283,226892,161511,105592,58288,**921852,6851,**999984
counts_11_eta0,403,306,21,4,**216967,0,**0,**9480,29,**4177,**158594,**415093,**87580,53,**196,**0,**31654,13,**31,0
counts_11_eta1,**48044,151,**72827,**981,162999,**1,0,7209,153064,3561,118177,311095,65721,47,156,0,23604,13083,11,0
counts_11_eta2,381,**312,8002,191,194616,1,0,6742,**232172,3085,72811,156690,26404,**61,157,0,1925,**50738,0,**1
total_counts,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
